forebrain_12.5	heart_12.5	hindbrain_12.5	limb_12.5	neuraltube_12.5	liver_12.5	midbrain_12.5	forebrain_13.5	heart_13.5	hindbrain_13.5	limb_13.5	neuraltube_13.5	liver_13.5	midbrain_13.5	forebrain_14.5	heart_14.5	hindbrain_14.5	limb_14.5	neuraltube_14.5	liver_14.5	midbrain_14.5	forebrain_15.5	heart_15.5	hindbrain_15.5	limb_15.5	neuraltube_15.5	liver_15.5	midbrain_15.5	forebrain_16.5	heart_16.5	hindbrain_16.5	liver_16.5	midbrain_16.5
H3K27ac_chip_left_intron	0.120970743837515	0.0523945678138179	0.0948185259724168	0.0656856345651632	0.0820029269934627	0.0714461082639109	0.066538096941439	0.171449548617565	0.160892075332722	0.0763660780219264	0.0680880705309658	0.0797969515756315	0.111997932823219	0.135628920972925	0.188209703304283	-0.00579949728022447	0.0583357015753267	0.00222868714977091	0.047944998004073	0.0436180506669423	0.0976461437348718	0.157896930883742	0.1590594223299	0.0795537384155765	0.129026156986834	0.0357661773274662	0.00625834396770681	0.143612169647837	0.133167741806395	0.10735517747376	0.0575863700134106	0.014801978701615	0.12028083275706
H3K27ac_chip_left_exon	0.169915251297103	0.0818036498685802	0.127824585401193	0.0815738373555012	0.0960255752146713	0.0772398208709093	0.0856779647178933	0.201329177992702	0.202244795807475	0.0914814286060921	0.0700344295707159	0.0809362837795524	0.11004235660958	0.146468458140647	0.15526610334533	0.0183783183303988	0.0827632969893442	0.00634251125481422	0.0303942752707051	0.0377621389198181	0.120546429120249	0.165799295724562	0.190710004000687	0.0786040361642415	0.167361206296074	0.0328476771288561	0.00604121672523947	0.129903694323702	0.141881437784498	0.141529341464863	0.0606247256642827	0.0185725288325742	0.13406326987516
H3K27ac_chip_right_intron	0.152208974047277	0.12553855907004	0.12490888345687	0.0975948002370957	0.0963941248381588	0.0824400724301873	0.102129385016328	0.199531486366725	0.210223662951206	0.0884963902845929	0.0806934565207794	0.0980740738307252	0.118429089724719	0.128743992473472	0.171678433715982	0.00844257631618145	0.0815111344408181	0.00718783914420543	0.0590136608933478	0.041252498522646	0.124362253508046	0.155871135767201	0.200062987479284	0.0819181438503282	0.154400787575245	0.0517132795251551	0.00886632283654528	0.155549518488202	0.140683680113546	0.155504499337284	0.0874815713132464	0.026435200763192	0.11493525402243
H3K27ac_chip_right_exon	0.120970743837515	0.0523945678138179	0.0948185259724168	0.0656856345651632	0.0820029269934627	0.0714461082639109	0.066538096941439	0.171449548617565	0.160892075332722	0.0763660780219264	0.0680880705309658	0.0797969515756315	0.111997932823219	0.135628920972925	0.188209703304283	-0.00579949728022447	0.0583357015753267	0.00222868714977091	0.047944998004073	0.0436180506669423	0.0976461437348718	0.157896930883742	0.1590594223299	0.0795537384155765	0.129026156986834	0.0357661773274662	0.00625834396770681	0.143612169647837	0.133167741806395	0.10735517747376	0.0575863700134106	0.014801978701615	0.12028083275706
H3K27me3_chip_left_intron	-0.0911901791044508	-0.0136079721146274	-0.0885408491186685	-0.0602154501637072	-0.045036020643896	-0.000573737969251614	-0.0813546115693017	-0.0618510254632461	0.100868196579349	-0.0618356727366187	-0.0712542051413127	-0.0751992203601346	0.0241199993728163	-0.0555276589622933	-0.0269301040353878	0.00296343925647255	-0.0304078220758985	-0.0154732302313451	-0.0178503374532836	-0.00625136286727088	-0.0104582027500817	0.00509044282330117	-0.00716928180052398	-0.0610264262589238	0.0120652718574591	-0.0490246785855372	0.00461821358879651	-0.0485640610407312	-0.0466681362215324	0.101118468111334	-0.0382721375057251	0.00492898178263895	-0.0419850116815937
H3K27me3_chip_left_exon	-0.053231707096334	-0.013511765781296	-0.0676901469320788	-0.0572257629002613	-0.0440365426167206	-0.00380677777180507	-0.0786045991364861	-0.0598152698208379	0.0777786405172409	-0.0707076534180701	-0.0527880618472429	-0.069980855899238	0.0388431499928942	-0.0661826561267808	-0.0380269075213562	-0.0310381291701898	-0.0350360264507645	-0.000279851411488132	-0.031438052151036	0.00877107565745416	-0.0288232782464732	-0.0279059927822048	0.0308289584920173	-0.0624529930312859	0.00234803241930215	-0.035613555139927	0.00985728439759388	-0.0279994366631605	-0.0111826622560609	0.0562996582288281	-0.04937874990438	0.0199568942241482	-0.0295191127806984
H3K27me3_chip_right_intron	-0.0457645676999165	0.0338765667014256	-0.0843314874573536	-0.0468809455496467	-0.0469125622671581	0.000809661621920224	-0.067479078555298	-0.0489367004515489	0.134301208489967	-0.064362926415247	-0.0637995525135932	-0.0644384319949744	0.0260966466213575	-0.0766992420442259	-0.0431328904079113	0.0128954007849787	-0.0278281417714455	0.000930778011361685	-0.0181751322764811	-0.012563324622354	-0.0107323330066472	-0.0316556689505607	0.0704618009908946	-0.0489458601776925	0.0081986407421067	-0.0321454003320605	0.00535080319228854	-0.0333227969880564	-0.0281291024039113	0.176305531834958	-0.0492578836762738	-0.00947089023089569	0.00392566987843836
H3K27me3_chip_right_exon	-0.0911901791044508	-0.0136079721146274	-0.0885408491186685	-0.0602154501637072	-0.045036020643896	-0.000573737969251614	-0.0813546115693017	-0.0618510254632461	0.100868196579349	-0.0618356727366187	-0.0712542051413127	-0.0751992203601346	0.0241199993728163	-0.0555276589622933	-0.0269301040353878	0.00296343925647255	-0.0304078220758985	-0.0154732302313451	-0.0178503374532836	-0.00625136286727088	-0.0104582027500817	0.00509044282330117	-0.00716928180052398	-0.0610264262589238	0.0120652718574591	-0.0490246785855372	0.00461821358879651	-0.0485640610407312	-0.0466681362215324	0.101118468111334	-0.0382721375057251	0.00492898178263895	-0.0419850116815937
H3K36me3_chip_left_intron	0.132651416586062	0.024778049849795	0.125845693579579	0.159698363742017	0.156543385979359	0.102970991352901	0.148497335138616	0.138676635759276	0.124284447841454	0.109454037535429	0.116637601896647	0.155135607368948	0.137245216329871	0.0688839704025748	0.117556898015752	0.203989883464476	0.14497121122312	0.0223540001858241	0.123536734843478	0.0854656464861876	0.148902694150403	0.162758623642431	0.166381585119847	0.140742509678713	0.0472486827572651	0.0920115417210262	-0.0273530418872924	0.0726091053711632	0.114434109655061	0.166712551622339	0.139759556854285	0.017037752170392	0.0661559650092622
H3K36me3_chip_left_exon	0.174283980539197	0.0267480792975889	0.165585416073515	0.160855723394046	0.170218974513809	0.10587120505271	0.17970291471178	0.159410185575475	0.128096291679925	0.141494203281274	0.171080375446241	0.18542305453983	0.130238614314816	0.121379660730692	0.0891319793006227	0.232554710112597	0.170012352866733	0.0190697094093279	0.0796210675286765	0.0818107060125164	0.141178891579004	0.190116903805061	0.235476925275521	0.149452939262668	0.0548869395594037	0.077048020247443	-0.0231312300191131	0.109959741336591	0.0958118618177811	0.13929858225211	0.141407672768675	0.0214665235853829	0.0449529785970509
