Gene	count	psi
ENSMUSG00000053768.9	1667	-0.343
ENSMUSG00000055762.11	2466	-0.175
ENSMUSG00000009079.12	15828	-0.063
ENSMUSG00000028478.14	2739	-0.34
ENSMUSG00000031865.11	4320	-0.49
ENSMUSG00000027642.11	5020	-0.15
ENSMUSG00000037032.11	4567	-0.443
ENSMUSG00000032076.14	4216	0.377
ENSMUSG00000025006.11	1151	0.284
ENSMUSG00000029106.10	6159	-0.409
ENSMUSG00000029106.10	6159	-0.32
ENSMUSG00000027012.11	4756	-0.378
ENSMUSG00000005881.9	2734	-0.417
ENSMUSG00000024985.14	3892	-0.624
ENSMUSG00000024381.11	1422	-0.446
ENSMUSG00000031422.12	7833	0.088
ENSMUSG00000032463.6	862	-0.431
ENSMUSG00000031422.12	7833	0.171
ENSMUSG00000024044.11	1971	-0.389
ENSMUSG00000030519.10	3445	-0.373
ENSMUSG00000028863.9	1680	-0.394
ENSMUSG00000020792.11	2182	-0.379
ENSMUSG00000005417.13	1661	-0.081
ENSMUSG00000013236.12	13273	0.21
ENSMUSG00000028207.14	1421	-0.335
ENSMUSG00000031585.9	1604	-0.092
ENSMUSG00000004631.11	766	-0.317
ENSMUSG00000022892.10	5307	0.202
ENSMUSG00000040407.13	6466	0.246
ENSMUSG00000049550.13	2612	0.404
ENSMUSG00000033295.9	4942	0.271
ENSMUSG00000058835.10	1477	-0.46
ENSMUSG00000019302.12	2128	-0.427
ENSMUSG00000029148.11	3038	-0.145
ENSMUSG00000040648.10	2719	-0.306
ENSMUSG00000031996.12	4954	-0.235
ENSMUSG00000060279.9	2392	-0.216
ENSMUSG00000005583.12	1293	-0.674
ENSMUSG00000039735.11	6645	-0.061
ENSMUSG00000045983.11	7157	-0.274
ENSMUSG00000033295.9	4942	0.284
ENSMUSG00000063077.10	8166	-0.344
ENSMUSG00000024598.8	474	-0.879
ENSMUSG00000039367.9	2902	-0.246
ENSMUSG00000019188.12	3113	-0.217
ENSMUSG00000004631.11	766	-0.198
ENSMUSG00000024985.14	3892	-0.473
ENSMUSG00000026623.12	1246	0.224
ENSMUSG00000019188.12	3113	-0.235
ENSMUSG00000040407.13	6466	0.153
ENSMUSG00000016382.11	1266	-0.225
ENSMUSG00000004207.10	3317	-0.298
ENSMUSG00000041674.12	32	-0.904
ENSMUSG00000027575.15	2050	-0.144
ENSMUSG00000020792.11	2182	-0.326
ENSMUSG00000009090.13	2684	-0.226
