Gene	count	psi
ENSMUSG00000028906.11	12085	-0.558
ENSMUSG00000024646.9	6308	-0.106
ENSMUSG00000028693.11	1315	0.203
ENSMUSG00000025290.12	1454	0.133
ENSMUSG00000004980.12	16976	0.345
ENSMUSG00000004980.12	16976	0.356
ENSMUSG00000026193.11	12454	0.535
ENSMUSG00000026193.11	12454	0.455
ENSMUSG00000026193.11	12454	0.356
ENSMUSG00000031960.10	4532	0.422
ENSMUSG00000020173.13	70	-0.936
ENSMUSG00000035325.12	2442	-0.453
ENSMUSG00000078143.3	252	0.527
ENSMUSG00000025495.10	4067	-0.168
ENSMUSG00000021000.11	1579	-0.337
ENSMUSG00000029106.10	6794	-0.277
ENSMUSG00000026150.10	2943	-0.153
ENSMUSG00000021268.13	3839	-0.095
ENSMUSG00000021268.13	3839	-0.071
ENSMUSG00000031342.13	126	-0.802
ENSMUSG00000039065.10	165	0.911
ENSMUSG00000032336.13	1928	0.063
ENSMUSG00000030629.10	2838	-0.632
ENSMUSG00000029022.14	772	0.863
ENSMUSG00000029162.11	482	-0.346
ENSMUSG00000029106.10	6794	-0.259
ENSMUSG00000029279.11	6	1.0
ENSMUSG00000026869.8	2478	-0.817
ENSMUSG00000036469.12	67	0.778
ENSMUSG00000004980.12	16976	0.093
ENSMUSG00000032126.11	27544	-0.103
ENSMUSG00000035325.12	2442	-0.427
ENSMUSG00000051396.10	1811	-0.791
ENSMUSG00000038685.14	669	1.0
ENSMUSG00000022519.9	135	0.934
ENSMUSG00000029106.10	6794	-0.22
ENSMUSG00000027001.6	55	-0.856
ENSMUSG00000022637.10	133	-0.921
ENSMUSG00000055447.14	7037	-0.092
ENSMUSG00000030220.9	2918	0.101
ENSMUSG00000078995.5	18	-1.0
ENSMUSG00000024713.11	142	-1.0
ENSMUSG00000024381.11	587	-0.136
ENSMUSG00000025728.10	6114	0.206
ENSMUSG00000006586.11	1133	0.637
ENSMUSG00000020720.9	2212	-1.0
ENSMUSG00000028519.12	40	0.822
ENSMUSG00000039176.13	1021	-1.0
ENSMUSG00000027620.12	4040	-0.137
ENSMUSG00000028483.9	445	-0.82
ENSMUSG00000018537.12	21	-1.0
ENSMUSG00000016534.11	2699	0.243
ENSMUSG00000058690.10	341	-0.708
ENSMUSG00000029106.10	6794	-0.108
ENSMUSG00000022661.10	15	-0.702
ENSMUSG00000042810.10	94	-0.75
ENSMUSG00000026867.14	4837	-0.097
ENSMUSG00000021000.11	1579	-0.355
ENSMUSG00000059743.8	4658	-0.227
ENSMUSG00000026150.10	2943	-0.261
ENSMUSG00000063652.6	41	0.852
ENSMUSG00000060261.11	1733	-0.75
ENSMUSG00000027985.10	68	-0.711
ENSMUSG00000026743.12	684	-0.19
ENSMUSG00000026150.10	2943	-0.245
ENSMUSG00000028478.14	1933	0.777
ENSMUSG00000039835.11	67	0.781
ENSMUSG00000030629.10	2838	-0.559
ENSMUSG00000009079.12	7846	0.04
ENSMUSG00000026825.13	24	0.736
ENSMUSG00000027620.12	4040	-0.123
ENSMUSG00000030695.9	5364	0.346
ENSMUSG00000025059.12	723	0.536
ENSMUSG00000028771.9	287	0.462
ENSMUSG00000025059.12	723	-0.293
ENSMUSG00000026457.10	8709	-0.128
ENSMUSG00000026150.10	2943	-0.071
ENSMUSG00000027333.14	2931	0.18
ENSMUSG00000073664.7	235	-0.673
ENSMUSG00000058690.10	341	-0.734
ENSMUSG00000078923.6	55	-0.306
ENSMUSG00000029687.12	1373	-0.073
ENSMUSG00000085498.1	58	0.748
ENSMUSG00000034248.7	31060	0.056
ENSMUSG00000044566.11	25	0.744
ENSMUSG00000052337.11	3370	0.092
ENSMUSG00000027333.14	2931	0.292
ENSMUSG00000032366.11	2896	0.117
ENSMUSG00000024646.9	6308	0.109
ENSMUSG00000029162.11	482	-0.413
ENSMUSG00000085396.3	42	-0.459
ENSMUSG00000024921.12	227	-0.637
ENSMUSG00000026594.10	400	-0.351
ENSMUSG00000041617.6	36	-0.738
ENSMUSG00000015882.13	484	0.376
ENSMUSG00000039103.8	29	-0.689
ENSMUSG00000097589.5	1749	0.331
ENSMUSG00000052337.11	3370	0.105
ENSMUSG00000027333.14	2931	0.174
ENSMUSG00000054737.7	78	0.612
ENSMUSG00000085396.3	42	-0.48
ENSMUSG00000072704.5	1089	0.509
ENSMUSG00000025728.10	6114	0.707
ENSMUSG00000039770.5	2564	-0.151
ENSMUSG00000090625.1	8970	0.095
ENSMUSG00000032411.11	4272	-0.166
ENSMUSG00000020898.14	801	0.062
ENSMUSG00000042302.10	112	0.547
ENSMUSG00000027634.10	1298	-0.755
ENSMUSG00000085614.1	9	-0.749
ENSMUSG00000022483.12	25	0.5
ENSMUSG00000078812.6	23531	0.182
ENSMUSG00000026240.8	481	0.715
ENSMUSG00000078923.6	55	-0.265
ENSMUSG00000021111.11	3657	-0.126
ENSMUSG00000044229.8	387	0.399
ENSMUSG00000025495.10	4067	-0.037
ENSMUSG00000026596.9	146	-0.81
ENSMUSG00000017677.7	1055	0.221
ENSMUSG00000026867.14	4837	-0.879
ENSMUSG00000062991.6	23	0.774
ENSMUSG00000024899.6	362	-0.623
ENSMUSG00000027620.12	4040	-0.115
ENSMUSG00000040054.11	698	0.427
ENSMUSG00000063450.10	404	-0.476
ENSMUSG00000037536.9	1734	-0.587
ENSMUSG00000019943.9	1019	0.139
ENSMUSG00000085984.3	11	-0.797
ENSMUSG00000066406.10	2430	-0.335
ENSMUSG00000025006.11	885	0.223
ENSMUSG00000027333.14	2931	0.192
ENSMUSG00000056234.10	1610	-0.562
ENSMUSG00000024331.7	493	0.455
ENSMUSG00000026867.14	4837	-0.061
ENSMUSG00000002602.12	1061	-0.544
ENSMUSG00000037266.14	10051	-0.055
ENSMUSG00000052688.8	27	0.479
ENSMUSG00000022721.14	1478	0.404
ENSMUSG00000028980.10	1428	0.678
ENSMUSG00000022483.12	25	0.49
ENSMUSG00000004319.11	3000	-0.083
ENSMUSG00000060373.10	4518	-0.024
ENSMUSG00000011831.12	1437	-0.301
ENSMUSG00000004980.12	16976	-0.122
ENSMUSG00000056458.12	10	-0.675
ENSMUSG00000097589.5	1749	0.613
ENSMUSG00000059119.8	2654	-0.776
ENSMUSG00000071669.10	113	-0.403
ENSMUSG00000053101.2	122	0.439
ENSMUSG00000025495.10	4067	-0.037
ENSMUSG00000017677.7	1055	0.225
ENSMUSG00000026504.13	152	0.5
ENSMUSG00000075184.2	505	-0.231
ENSMUSG00000027333.14	2931	0.462
ENSMUSG00000085028.2	60	-0.712
ENSMUSG00000052337.11	3370	0.126
ENSMUSG00000038145.12	811	-0.34
ENSMUSG00000055737.8	1081	0.097
ENSMUSG00000039065.10	165	0.554
ENSMUSG00000062866.11	229	0.112
ENSMUSG00000021111.11	3657	-0.219
ENSMUSG00000031996.12	7255	-0.126
ENSMUSG00000016833.10	831	-0.375
ENSMUSG00000022551.7	4986	-0.422
ENSMUSG00000066306.8	2185	-0.305
ENSMUSG00000023092.12	586	0.125
ENSMUSG00000086390.3	176	-0.297
ENSMUSG00000021033.10	2090	-0.17
ENSMUSG00000024381.11	587	0.304
ENSMUSG00000026414.9	92	0.333
ENSMUSG00000028906.11	12085	-0.064
ENSMUSG00000024663.13	5510	0.037
ENSMUSG00000028327.10	398	-0.856
ENSMUSG00000031708.11	4120	-0.054
ENSMUSG00000025372.12	349	-0.304
ENSMUSG00000027361.11	688	-0.125
ENSMUSG00000048583.12	12233	0.326
ENSMUSG00000074129.8	4729	0.419
ENSMUSG00000022892.10	852	0.328
ENSMUSG00000032366.11	2896	-0.046
ENSMUSG00000024049.10	68	0.472
ENSMUSG00000087107.3	1930	0.356
ENSMUSG00000020231.11	111	0.438
ENSMUSG00000066406.10	2430	-0.344
ENSMUSG00000033793.8	942	-0.068
ENSMUSG00000013033.12	156	0.738
