Gene	count	psi
ENSMUSG00000024646.9	1894	-0.376
ENSMUSG00000028773.8	4413	1.0
ENSMUSG00000039218.12	10535	-0.109
ENSMUSG00000028833.9	1751	-0.483
ENSMUSG00000024646.9	1894	-0.028
ENSMUSG00000031342.13	245	-0.706
ENSMUSG00000038695.8	1781	-0.072
ENSMUSG00000032336.13	2856	0.068
ENSMUSG00000022378.9	2049	1.0
ENSMUSG00000038695.8	1781	-0.074
ENSMUSG00000029650.6	105	0.678
ENSMUSG00000021175.11	820	1.0
ENSMUSG00000002871.10	829	-1.0
ENSMUSG00000032411.11	1859	1.0
ENSMUSG00000032212.9	1347	0.672
ENSMUSG00000041444.10	223	1.0
ENSMUSG00000030263.9	71	-0.794
ENSMUSG00000101556.1	1	0.882
ENSMUSG00000028644.12	1191	-0.705
ENSMUSG00000085984.3	159	-0.762
ENSMUSG00000079428.4	292	0.83
ENSMUSG00000087574.1	272	0.826
ENSMUSG00000044122.10	49	-0.889
ENSMUSG00000101556.1	1	0.843
ENSMUSG00000087060.3	180	0.6
ENSMUSG00000024378.5	983	0.607
ENSMUSG00000043987.13	699	-0.756
ENSMUSG00000028487.14	57	-0.806
ENSMUSG00000027881.10	2476	-0.061
ENSMUSG00000028901.9	1148	0.535
ENSMUSG00000058454.10	1078	-0.789
ENSMUSG00000028634.12	176	-0.783
ENSMUSG00000035051.10	988	0.576
ENSMUSG00000040877.11	179	0.803
ENSMUSG00000031505.6	1315	-0.114
ENSMUSG00000033287.11	338	0.756
ENSMUSG00000051586.10	790	-0.535
ENSMUSG00000014856.8	963	-0.779
ENSMUSG00000087579.3	670	-0.728
ENSMUSG00000079508.4	294	0.898
ENSMUSG00000054737.7	248	0.549
ENSMUSG00000037989.11	102	0.788
ENSMUSG00000028657.10	2240	0.564
ENSMUSG00000048677.8	269	0.549
ENSMUSG00000026484.9	3913	0.676
ENSMUSG00000040940.14	3138	-0.188
ENSMUSG00000039065.10	284	0.49
ENSMUSG00000025591.5	246	-0.747
ENSMUSG00000049420.8	63	-0.77
ENSMUSG00000054404.8	83	0.491
ENSMUSG00000048636.7	219	-0.874
ENSMUSG00000054423.9	71	0.462
ENSMUSG00000054737.7	248	0.437
ENSMUSG00000026811.14	965	0.56
ENSMUSG00000020993.8	1251	0.776
ENSMUSG00000025858.8	2332	-0.767
ENSMUSG00000010608.11	6124	0.652
ENSMUSG00000084925.3	130	0.426
ENSMUSG00000005611.11	350	0.442
ENSMUSG00000049606.12	2116	0.411
ENSMUSG00000062184.7	1453	0.444
ENSMUSG00000033352.7	3313	0.44
ENSMUSG00000027797.11	383	0.583
ENSMUSG00000019856.9	180	0.431
ENSMUSG00000038323.3	434	0.503
ENSMUSG00000038784.9	1057	0.306
ENSMUSG00000074500.7	140	-0.354
ENSMUSG00000032355.12	1526	0.383
ENSMUSG00000060572.13	4070	-0.367
ENSMUSG00000022412.8	2098	0.461
ENSMUSG00000020385.12	1885	-0.726
ENSMUSG00000042842.6	474	0.175
ENSMUSG00000050908.8	898	-0.404
ENSMUSG00000028799.11	870	0.288
ENSMUSG00000031585.9	2431	-0.454
ENSMUSG00000023050.4	1796	-0.543
ENSMUSG00000022498.12	1582	0.11
ENSMUSG00000027881.10	2476	0.47
ENSMUSG00000018537.12	269	-0.468
ENSMUSG00000051586.10	790	-0.666
ENSMUSG00000069743.4	215	0.359
ENSMUSG00000049606.12	2116	0.359
ENSMUSG00000055407.9	148	-0.336
ENSMUSG00000026196.7	185	0.449
ENSMUSG00000033728.10	881	0.528
ENSMUSG00000074500.7	140	-0.293
ENSMUSG00000005506.12	9615	0.204
ENSMUSG00000031626.12	18296	0.019
ENSMUSG00000071679.4	87	0.728
ENSMUSG00000001507.12	807	-0.244
ENSMUSG00000040407.13	3209	0.732
ENSMUSG00000031137.13	1465	0.133
ENSMUSG00000029095.13	129	-0.457
ENSMUSG00000021870.13	5412	0.649
ENSMUSG00000022240.9	78	0.723
ENSMUSG00000026842.12	3461	0.856
ENSMUSG00000028078.10	276	-0.313
ENSMUSG00000026418.12	48975	-0.539
ENSMUSG00000018395.15	1029	-0.385
ENSMUSG00000021268.13	4423	0.688
ENSMUSG00000069743.4	215	0.356
ENSMUSG00000066060.5	66	-0.277
ENSMUSG00000027881.10	2476	-0.539
ENSMUSG00000097039.4	42	-0.85
ENSMUSG00000023882.11	106	-0.66
ENSMUSG00000086287.1	15	0.35
ENSMUSG00000024381.11	570	0.109
ENSMUSG00000041258.12	458	0.572
ENSMUSG00000037773.10	390	-0.272
ENSMUSG00000001120.11	323	0.21
ENSMUSG00000061981.10	2791	0.098
ENSMUSG00000075324.9	776	-0.686
ENSMUSG00000059852.7	1834	0.442
ENSMUSG00000030967.9	774	0.847
ENSMUSG00000055670.9	1044	0.364
ENSMUSG00000028086.10	408	0.49
ENSMUSG00000026743.12	1241	-0.252
ENSMUSG00000085573.1	47	0.401
ENSMUSG00000036792.8	674	-0.289
ENSMUSG00000008496.14	19	-0.896
ENSMUSG00000071226.7	137	-0.526
ENSMUSG00000031960.10	4474	0.335
ENSMUSG00000022681.10	2415	0.157
ENSMUSG00000036893.12	3064	0.647
ENSMUSG00000026305.11	5611	-0.464
ENSMUSG00000026414.9	96068	0.072
ENSMUSG00000031712.8	356	-0.195
ENSMUSG00000025159.4	1692	-0.085
ENSMUSG00000032413.8	1195	-0.181
ENSMUSG00000026927.13	2437	0.372
ENSMUSG00000052446.12	512	0.278
ENSMUSG00000020910.12	329	0.35
ENSMUSG00000049606.12	2116	0.28
ENSMUSG00000074912.6	50	0.597
ENSMUSG00000039804.11	1856	0.191
ENSMUSG00000025658.12	70	0.647
ENSMUSG00000087579.3	670	0.203
ENSMUSG00000028878.7	931	-0.152
ENSMUSG00000031516.7	1406	0.037
ENSMUSG00000056004.12	152	0.391
ENSMUSG00000035051.10	988	0.238
ENSMUSG00000040785.13	9524	0.115
ENSMUSG00000029004.11	2967	0.367
ENSMUSG00000003452.11	426	-0.651
ENSMUSG00000028093.11	1280	-0.034
ENSMUSG00000033728.10	881	0.386
ENSMUSG00000052584.9	165	-0.215
ENSMUSG00000020744.9	979	0.187
ENSMUSG00000036053.12	120	-0.83
ENSMUSG00000049606.12	2116	0.437
ENSMUSG00000024160.12	1014	-0.071
ENSMUSG00000028082.9	590	0.148
ENSMUSG00000070883.3	34	-0.873
ENSMUSG00000052446.12	512	0.26
ENSMUSG00000097039.4	42	0.573
ENSMUSG00000034164.13	279	0.556
ENSMUSG00000061981.10	2791	-0.462
ENSMUSG00000026811.14	965	0.28
ENSMUSG00000049606.12	2116	0.325
ENSMUSG00000075040.5	292	-0.284
ENSMUSG00000022681.10	2415	0.2
ENSMUSG00000070371.7	162	0.521
ENSMUSG00000022498.12	1582	0.068
ENSMUSG00000021496.8	522	-0.197
ENSMUSG00000050786.8	270	0.237
ENSMUSG00000040612.9	230	0.354
ENSMUSG00000036555.10	452	-0.296
ENSMUSG00000020910.12	329	0.198
ENSMUSG00000026643.12	2352	0.525
ENSMUSG00000028899.7	827	0.513
ENSMUSG00000028878.7	931	-0.23
ENSMUSG00000028158.10	300	-0.572
ENSMUSG00000036334.8	456	0.409
ENSMUSG00000041649.9	133	0.635
ENSMUSG00000031822.14	1500	0.2
ENSMUSG00000022000.10	1677	-0.108
ENSMUSG00000056917.8	1289	0.335
ENSMUSG00000074500.7	140	-0.287
ENSMUSG00000092417.3	206	-0.517
ENSMUSG00000040272.10	256	-0.373
ENSMUSG00000041617.6	63	-0.525
ENSMUSG00000025812.13	2103	-0.628
ENSMUSG00000035051.10	988	0.163
ENSMUSG00000004896.12	1250	-0.289
ENSMUSG00000031585.9	2431	-0.109
ENSMUSG00000029056.9	1433	-0.05
ENSMUSG00000026414.9	96068	0.103
ENSMUSG00000052852.7	1360	-0.33
ENSMUSG00000011831.12	1673	0.475
ENSMUSG00000035829.9	397	-0.596
ENSMUSG00000039801.6	727	-0.305
ENSMUSG00000006362.11	432	-0.529
ENSMUSG00000049606.12	2116	0.292
ENSMUSG00000039108.10	280	0.266
ENSMUSG00000006494.7	7101	0.058
ENSMUSG00000028549.13	1777	0.163
ENSMUSG00000025145.9	1147	0.212
ENSMUSG00000019982.10	84	-0.498
ENSMUSG00000066880.11	438	0.238
ENSMUSG00000039782.10	708	-0.209
ENSMUSG00000049606.12	2116	0.336
ENSMUSG00000037286.11	2018	-0.085
ENSMUSG00000031948.9	4425	0.465
ENSMUSG00000020193.3	68	-0.228
ENSMUSG00000078495.6	243	0.772
ENSMUSG00000087060.3	180	0.188
ENSMUSG00000038215.10	542	-0.252
ENSMUSG00000037605.12	497	0.256
ENSMUSG00000027394.9	377	-0.086
ENSMUSG00000038173.10	107	-0.701
ENSMUSG00000020385.12	1885	-0.246
ENSMUSG00000018411.13	32	-0.279
ENSMUSG00000021196.9	8716	-0.376
ENSMUSG00000040225.11	4131	-0.448
ENSMUSG00000027333.14	634	0.245
ENSMUSG00000028229.7	670	0.083
ENSMUSG00000025145.9	1147	0.206
ENSMUSG00000000631.15	8336	0.237
ENSMUSG00000042632.12	664	0.373
ENSMUSG00000097080.3	227	-0.484
ENSMUSG00000032511.13	2098	0.336
ENSMUSG00000032067.5	974	-0.028
ENSMUSG00000079363.3	316	0.349
ENSMUSG00000029475.13	1549	0.079
ENSMUSG00000086353.1	20	-0.5
ENSMUSG00000030177.10	769	-0.572
ENSMUSG00000028689.10	232	0.531
ENSMUSG00000052446.12	512	0.171
ENSMUSG00000026275.9	2116	0.047
ENSMUSG00000029823.12	1842	-0.835
ENSMUSG00000052534.11	2729	0.214
ENSMUSG00000029022.14	568	0.604
ENSMUSG00000066036.10	4430	0.284
ENSMUSG00000020777.12	2230	0.332
ENSMUSG00000025860.10	980	0.376
ENSMUSG00000005417.13	4556	0.033
ENSMUSG00000094786.1	93	0.428
ENSMUSG00000034471.8	1752	-0.128
ENSMUSG00000038766.12	798	-0.248
ENSMUSG00000010608.11	6124	0.324
ENSMUSG00000049606.12	2116	0.326
ENSMUSG00000090626.5	453	-0.132
ENSMUSG00000028487.14	57	-0.653
ENSMUSG00000038725.7	596	0.456
ENSMUSG00000024037.8	783	0.206
ENSMUSG00000026565.14	537	-0.562
ENSMUSG00000043015.11	353	0.247
ENSMUSG00000037032.11	1680	0.079
ENSMUSG00000050908.8	898	-0.417
ENSMUSG00000032511.13	2098	0.424
ENSMUSG00000037533.13	1533	0.147
ENSMUSG00000063889.12	661	-0.546
ENSMUSG00000025920.15	1071	0.132
ENSMUSG00000039956.4	375	-0.052
ENSMUSG00000034035.14	61	0.794
ENSMUSG00000024234.6	1191	0.113
ENSMUSG00000021097.10	93	-0.754
ENSMUSG00000074340.5	32	0.425
ENSMUSG00000039473.7	1525	-0.127
ENSMUSG00000036246.10	419	0.283
ENSMUSG00000057363.8	347	-0.243
ENSMUSG00000020744.9	979	0.14
ENSMUSG00000063804.7	239	-0.123
ENSMUSG00000028158.10	300	-0.545
ENSMUSG00000025786.11	2912	0.03
ENSMUSG00000026860.12	2471	-0.043
ENSMUSG00000039842.11	901	0.151
ENSMUSG00000051586.10	790	-0.409
ENSMUSG00000041476.8	11022	-0.097
ENSMUSG00000022434.7	581	-0.118
ENSMUSG00000061411.8	1200	-0.644
ENSMUSG00000097503.2	132	0.321
ENSMUSG00000097503.2	132	0.293
ENSMUSG00000031585.9	2431	-0.058
ENSMUSG00000035829.9	397	-0.559
ENSMUSG00000020173.13	865	-0.268
ENSMUSG00000040723.10	4794	0.038
ENSMUSG00000073147.3	684	-0.618
ENSMUSG00000028282.8	1374	0.129
ENSMUSG00000039345.11	665	0.075
ENSMUSG00000032855.5	1691	-0.135
ENSMUSG00000055923.12	452	-0.24
ENSMUSG00000022686.10	1425	0.077
ENSMUSG00000030695.9	40984	-0.007
ENSMUSG00000040591.14	2291	0.388
ENSMUSG00000046711.11	1352	-0.216
ENSMUSG00000021636.10	138	0.286
